pag,titulo,direccion,moneda,valor,tipo_inmueble,tipo_contrato,valor_en_pesos,direccion_procesada,latitude,longitude,place_id
https://portalinmobiliario.com/MLC-2801327608-casa-en-arriendo-en-puerto-montt-_JM#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=fe63e428-d3e4-41e4-8377-399a24ac03cb,Casa En Arriendo En Puerto Montt,"Av Dos Esteros 46, Puerto Montt, Los Lagos",$,1100000,Casas,Arriendo,1100000.0,"Av Dos Esteros 46, Puerto Montt, Los Lagos",-41.4837882,-72.8904773,ChIJ43OIrqUwGJYR9oqgzC8vpzY
https://portalinmobiliario.com/MLC-2825246946-casa-en-arriendo-en-los-notros-bosque-mar-_JM#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=fe63e428-d3e4-41e4-8377-399a24ac03cb,"Casa En Arriendo, En Los Notros. Bosque Mar","Puerto Montt, Puerto Montt, Los Lagos",$,600000,Casas,Arriendo,600000.0,"Puerto Montt, Puerto Montt, Los Lagos",-41.4693622,-72.94244050000002,ChIJB_QgaU06GJYR38mleVrxo4Y
https://portalinmobiliario.com/MLC-2822938664-valle-volcanes-amplio-patio-_JM#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=fe63e428-d3e4-41e4-8377-399a24ac03cb,Valle Volcanes | Amplio Patio.,"Techo Para Todos, Puerto Montt, Los Lagos",$,660000,Casas,Arriendo,660000.0,"Techo Para Todos, Puerto Montt, Los Lagos",-41.46183,-72.964854,ChIJ28fQPQw7GJYRzVQCklXIIgQ
https://portalinmobiliario.com/MLC-1556759451-casa-en-arriendo-de-4d2b-en-valle-volcanes-puerto-montt-_JM#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=fe63e428-d3e4-41e4-8377-399a24ac03cb,Casa En Arriendo De 4d2b. En Valle Volcanes Puerto Montt,"Valle Volcanes, La Paloma, Puerto Montt, Los Lagos",UF,2879,Casas,Arriendo,110665823.42,"Valle Volcanes, La Paloma, Puerto Montt, Los Lagos",-41.4517884,-72.90819139999999,ChIJCX0pPIU6GJYRRsXgcaz33MI
https://portalinmobiliario.com/MLC-2807048830-casa-en-arriendo-de-3d-3b-en-altos-de-mackenna-puerto-montt-_JM#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=fe63e428-d3e4-41e4-8377-399a24ac03cb,Casa En Arriendo De 3d 3b En Altos De Mackenna Puerto Montt,"Alto Mackenna, Mirasol de Puerto Montt, Puerto Montt, Los Lagos",UF,1509,Casas,Arriendo,58004420.82000001,"Alto Mackenna, Mirasol de Puerto Montt, Puerto Montt, Los Lagos",-41.4715479,-72.9821866,ChIJ-1IwsoI7GJYR9RiDAy6mt2s
https://portalinmobiliario.com/MLC-2817578414-casa-en-arriendo-de-3-dorm-en-puerto-montt-_JM#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=fe63e428-d3e4-41e4-8377-399a24ac03cb,Casa En Arriendo De 3 Dorm. En Puerto Montt,"Jardines Del Mirador, Mirasol de Puerto Montt, Puerto Montt, Los Lagos",$,600000,Casas,Arriendo,600000.0,"Jardines Del Mirador, Mirasol de Puerto Montt, Puerto Montt, Los Lagos",-41.48408879999999,-72.9800796,ChIJu1dDieg7GJYRRsYYApzRaXM
https://portalinmobiliario.com/MLC-2827059402-se-arrienda-hermosa-cabana-completamente-equipada-2d1b-con-_JM#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=fe63e428-d3e4-41e4-8377-399a24ac03cb,Se Arrienda Hermosa Cabaña Completamente Equipada 2d/1b Con,"Costa Chinquihue Alto, rural-urbana, Puerto Montt, Los Lagos",$,450000,Casas,Arriendo,450000.0,"Costa Chinquihue Alto, rural-urbana, Puerto Montt, Los Lagos",-41.5247077,-73.05031699999999,ChIJwYWxpow_GJYRbC-KTMSxStE
https://portalinmobiliario.com/MLC-2823764574-casa-en-arriendo-de-4-dorm-en-puerto-montt-_JM#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=fe63e428-d3e4-41e4-8377-399a24ac03cb,Casa En Arriendo De 4 Dorm. En Puerto Montt,"Casa Con Vista Al Mar, Piedra Azul, Puerto Montt, Los Lagos",$,900000,Casas,Arriendo,900000.0,"Casa Con Vista Al Mar, Piedra Azul, Puerto Montt, Los Lagos",-41.5055641,-72.7542869,ChIJF9DlkT41GJYRNzj86JzKfeI
https://portalinmobiliario.com/MLC-1558909989-casa-en-avenida-los-notros-en-puerto-montt-_JM#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=fe63e428-d3e4-41e4-8377-399a24ac03cb,Casa En Avenida Los Notros En Puerto Montt,"Avenida Los Notros, Mirasol de Puerto Montt, Puerto Montt, Los Lagos",$,580000,Casas,Arriendo,580000.0,"Avenida Los Notros, Mirasol de Puerto Montt, Puerto Montt, Los Lagos",-41.4835296,-72.9921551,Ei5Bdi4gTG9zIE5vdHJvcywgUHVlcnRvIE1vbnR0LCBMb3MgTGFnb3MsIENoaWxlIi4qLAoUChIJWxsRT5c7GJYRqQBTsmDRj7ISFAoSCWPtTjGWOxiWEcZcIjaxGr0W
https://portalinmobiliario.com/MLC-1565300611-casa-en-arriendo-2d-y-2b-a-pocos-minutos-de-puerto-montt-_JM#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=fe63e428-d3e4-41e4-8377-399a24ac03cb,Casa En Arriendo 2d Y 2b A Pocos Minutos De Puerto Montt,"Kilometro 12 De La Carretera Austral, Puerto Montt, Los Lagos",$,730000,Casas,Arriendo,730000.0,"Kilometro 12 De La Carretera Austral, Puerto Montt, Los Lagos",-41.4728669,-72.9375858,EjBDYXJyLiBBdXN0cmFsIDEyLCBQdWVydG8gTW9udHQsIExvcyBMYWdvcywgQ2hpbGUiMBIuChQKEgnTEzjPUToYlhHCVplMgEVMsBAMKhQKEgkFgNFnsjsYlhEjbSKRJo_VQA
