pag,titulo,direccion,moneda,valor,tipo_inmueble,tipo_contrato,valor_en_pesos,direccion_procesada,latitude,longitude,place_id
https://portalinmobiliario.com/MLC-1556887589-departamento-nuevo-en-condominio-lomas-de-reloncavi-_JM#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=5773cb41-e313-4ff0-8455-1691e317fc8d,Departamento Nuevo En Condominio Lomas De Reloncavi,"Vía Azul 930, Puerto Montt, Los Lagos",$,550000,Departamentos,Arriendo,550000.0,"Vía Azul 930, Puerto Montt, Los Lagos",-41.47782,-72.90367839999999,ChIJo4hcsXQ6GJYRKVkbwLS7fB8
https://portalinmobiliario.com/MLC-2828668454-departamento-en-chinquihue-puerto-montt-69554-_JM#polycard_client=search-nordic&position=45&search_layout=grid&type=item&tracking_id=5773cb41-e313-4ff0-8455-1691e317fc8d,Departamento En Chinquihue - Puerto Montt (69554),"Departamento En Chinquihue - Puerto Montt, Chinquihue, Puerto Montt, Los Lagos",$,530000,Departamentos,Arriendo,530000.0,"Departamento En Chinquihue - Puerto Montt, Chinquihue, Puerto Montt, Los Lagos",-41.5211329,-73.0522697,ChIJx7D1Hng-GJYRlRR4q-VNs5I
https://portalinmobiliario.com/MLC-1563868351-1420-via-azul-n1000-depto-503-a-condominio-alto-relonc-_JM#polycard_client=search-nordic&position=46&search_layout=grid&type=item&tracking_id=5773cb41-e313-4ff0-8455-1691e317fc8d,"1420 - Vía Azul N°1.000, Depto 503-a, Condominio Alto Relonc","Vía Azul 1000, Puerto Montt, Los Lagos",$,720000,Departamentos,Arriendo,720000.0,"Vía Azul 1000, Puerto Montt, Los Lagos",-41.4776426,-72.9083134,ChIJDZlu8SI7GJYRRsvgzIteMC4
https://portalinmobiliario.com/MLC-2808805810-1250-volcan-corcovado-n5586-depto-e-407-alto-la-paloma-_JM#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=5773cb41-e313-4ff0-8455-1691e317fc8d,"1250 - Volcán Corcovado N°5586, Depto E-407, Alto La Paloma","Volcán Corcovado 5586, Puerto Montt, La Paloma, Puerto Montt, Los Lagos",$,520000,Departamentos,Arriendo,520000.0,"Volcán Corcovado 5586, Puerto Montt, La Paloma, Puerto Montt, Los Lagos",-41.4567216,-72.9163287,ChIJM1CsXok6GJYRzWgDXrbdnDo
https://portalinmobiliario.com/MLC-1557480705-departamento-en-arriendo-de-2-dorm-en-puerto-montt-_JM#polycard_client=search-nordic&position=48&search_layout=grid&type=item&tracking_id=5773cb41-e313-4ff0-8455-1691e317fc8d,Departamento En Arriendo De 2 Dorm. En Puerto Montt,"Alta Vista Iii, Puerto Montt, Los Lagos",$,600000,Departamentos,Arriendo,600000.0,"Alta Vista Iii, Puerto Montt, Los Lagos",-41.4518528,-72.9433257,ChIJh8SyTnY7GJYRnmRNiMCORvE
https://portalinmobiliario.com/MLC-2816503120-departamento-en-arriendo-en-puerto-montt-_JM#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=f33f13b7-5d0d-403d-973b-6f3479e5205e,Departamento En Arriendo En Puerto Montt,"Calle Puerto Montt 1641, Puerto Montt, Los Lagos",$,650000,Departamentos,Arriendo,650000.0,"Calle Puerto Montt 1641, Puerto Montt, Los Lagos",-41.48480259999999,-72.9062297,ChIJMet66g46GJYREzYTk_M9-Xg
https://portalinmobiliario.com/MLC-2807409322-departamento-en-arriendo-de-3-dorm-en-puerto-montt-_JM#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=f33f13b7-5d0d-403d-973b-6f3479e5205e,Departamento En Arriendo De 3 Dorm. En Puerto Montt,"Calle Buenos Aires 1971, Puerto Montt, Los Lagos",$,590000,Departamentos,Arriendo,590000.0,"Calle Buenos Aires 1971, Puerto Montt, Los Lagos",-41.4863523,-72.896113,ChIJ9T-U06cwGJYR6Kse0PIrVkg
https://portalinmobiliario.com/MLC-2823828694-departamento-en-arriendo-en-puerto-montt-_JM#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=f33f13b7-5d0d-403d-973b-6f3479e5205e,Departamento En Arriendo En Puerto Montt,"Buin 356, Centro de Puerto Montt, Puerto Montt, Los Lagos",$,540000,Departamentos,Arriendo,540000.0,"Buin 356, Centro de Puerto Montt, Puerto Montt, Los Lagos",-41.4707328,-72.9463104,ChIJfwMlsqw7GJYRiAtToBq55zc
https://portalinmobiliario.com/MLC-2824240618-departamento-en-arriendo-de-4-dorm-en-puerto-montt-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=f33f13b7-5d0d-403d-973b-6f3479e5205e,Departamento En Arriendo De 4 Dorm. En Puerto Montt,"Bernardo Ohiggins 595, Puerto Montt, Centro de Puerto Montt, Puerto Montt, Los Lagos",$,700000,Departamentos,Arriendo,700000.0,"Bernardo Ohiggins 595, Puerto Montt, Centro de Puerto Montt, Puerto Montt, Los Lagos",-41.465749,-72.9371519,ChIJp1s5rVc6GJYR7702Lfzi3Us
https://portalinmobiliario.com/MLC-2801366944-departamento-en-arriendo-en-puerto-montt-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=f33f13b7-5d0d-403d-973b-6f3479e5205e,Departamento En Arriendo En Puerto Montt,"Calle Puerto Montt 1641, Puerto Montt, Los Lagos",$,700000,Departamentos,Arriendo,700000.0,"Calle Puerto Montt 1641, Puerto Montt, Los Lagos",-41.48480259999999,-72.9062297,ChIJMet66g46GJYREzYTk_M9-Xg
